"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 17-Jul-2023"
"NIFTY 50","24,543.80","24,837.75","24,504.45","24,613.00","24,800.85","187.85","0.76","35,09,24,425","40,477.02","24,837.75","18,837.85","4.89","24.63"
"LTIM","5,605.00","5,778.00","5,605.00","5,562.35","5,756.00","193.65","3.48","25,92,299","1,481.77","6,442.00","4,513.55","10.53","11.22"
"ONGC","325.10","333.30","321.65","322.65","332.30","9.65","2.99","4,81,89,915","1,584.92","333.30","166.00","17.16","93.32"
"TCS","4,160.00","4,325.00","4,160.00","4,178.45","4,297.20","118.75","2.84","56,13,364","2,397.83","4,325.00","3,311.00","9.04","19.49"
"WIPRO","556.55","574.40","556.35","559.70","573.20","13.50","2.41","1,25,09,893","709.64","574.40","375.05","17.21","34.16"
"BAJAJFINSV","1,606.00","1,654.00","1,593.05","1,609.55","1,648.00","38.45","2.39","29,99,670","490.50","1,741.00","1,419.05","1.12","-0.54"
"INFY","1,719.00","1,765.40","1,719.00","1,726.05","1,764.05","38.00","2.20","1,12,48,896","1,965.82","1,765.40","1,305.00","15.93","17.00"
"M&M","2,756.00","2,825.95","2,736.50","2,756.75","2,815.05","58.30","2.11","41,22,844","1,149.97","3,013.50","1,415.75","-5.87","79.63"
"SBILIFE","1,620.00","1,664.95","1,615.05","1,621.35","1,651.00","29.65","1.83","21,04,021","346.33","1,664.95","1,251.65","10.30","23.34"
"SHRIRAMFIN","2,777.00","2,873.95","2,777.00","2,813.50","2,861.15","47.65","1.69","8,23,804","233.77","3,059.45","1,755.20","2.98","57.69"
"TECHM","1,507.00","1,545.70","1,505.00","1,516.20","1,540.00","23.80","1.57","27,52,497","421.09","1,545.70","1,082.30","10.55","21.53"
"HINDUNILVR","2,700.00","2,751.20","2,655.00","2,688.45","2,730.30","41.85","1.56","55,69,762","1,514.99","2,751.20","2,172.05","8.42","0.21"
"TATACONSUM","1,175.00","1,194.60","1,170.00","1,176.25","1,192.70","16.45","1.40","25,59,563","303.30","1,269.00","828.25","5.74","36.98"
"SBIN","880.65","894.90","877.50","880.70","892.50","11.80","1.34","1,94,35,183","1,728.90","912.00","543.20","4.95","48.68"
"HCLTECH","1,558.05","1,599.25","1,557.00","1,569.55","1,589.00","19.45","1.24","43,99,468","696.65","1,697.35","1,095.00","9.68","34.47"
"ITC","463.00","470.90","462.65","465.55","470.50","4.95","1.06","2,10,94,737","987.02","499.70","399.35","7.98","-1.47"
